ticker,year,revenue_cr,ebitda_cr,net_debt_cr,interest_expense_cr,fcf_cr,promoter_holding_pct,promoter_pledge_pct
SYMPHONY.NS,FY23,1183.8,188.6,24.7,10.2,113.8,,
SYMPHONY.NS,FY24,1153.6,217.2,43.2,10.4,153.6,,
SYMPHONY.NS,FY25,1576.0,312.0,-7.3,10.0,236.0,,
SYMPHONY.NS,FY26,1131.0,-23.0,4.0,16.0,-100.0,,
TANLA.NS,FY23,3354.6,613.9,-601.3,1.2,90.7,,
TANLA.NS,FY24,3927.8,774.5,-587.3,5.9,431.1,,
TANLA.NS,FY25,4027.7,731.1,-931.7,6.0,514.5,,
TANLA.NS,FY26,4417.7,761.0,-1563.6,4.4,476.5,,
TEAMLEASE.NS,FY23,7859.9,163.9,-328.6,5.7,106.7,,
TEAMLEASE.NS,FY24,9312.0,180.5,-326.9,10.2,97.3,,
TEAMLEASE.NS,FY25,11155.9,183.0,-367.4,14.8,73.4,,
TEAMLEASE.NS,FY26,11790.7,220.9,-947.1,14.3,272.4,,
TRITURBINE.NS,FY23,1236.5,276.3,-660.4,0.9,157.1,,
TRITURBINE.NS,FY24,1642.7,381.2,-854.9,2.5,239.3,,
TRITURBINE.NS,FY25,2005.8,517.8,-947.9,2.9,143.9,,
TRITURBINE.NS,FY26,2181.1,509.8,-861.2,2.6,39.4,,
TTKPRESTIG.NS,FY23,2754.8,404.2,-709.9,8.0,131.3,,
TTKPRESTIG.NS,FY24,2657.7,378.8,-826.5,13.2,221.3,,
TTKPRESTIG.NS,FY25,2714.8,261.0,-637.2,15.7,115.2,,
TTKPRESTIG.NS,FY26,2973.6,315.7,,15.0,121.7,,
VGUARD.NS,FY23,4092.0,336.4,433.2,16.2,321.2,,
VGUARD.NS,FY24,4821.8,460.7,324.4,39.5,264.5,,
VGUARD.NS,FY25,5577.8,534.1,69.7,24.5,356.3,,
VGUARD.NS,FY26,5965.8,528.2,-76.5,12.4,278.7,,
VIPIND.NS,FY23,2078.7,295.6,296.6,25.4,68.0,,
VIPIND.NS,FY24,2237.8,222.3,826.6,46.3,-231.7,,
VIPIND.NS,FY25,2178.4,101.0,705.2,73.2,248.8,,
VIPIND.NS,FY26,1858.1,-140.4,611.0,70.3,133.0,,
WESTLIFE.NS,FY23,2259.4,393.8,1124.1,92.1,78.9,,
WESTLIFE.NS,FY24,2368.2,386.9,1274.9,108.9,122.9,,
WESTLIFE.NS,FY25,2474.1,344.3,1564.2,127.1,127.2,,
WESTLIFE.NS,FY26,2600.4,411.4,1787.9,145.5,115.5,,
ZENSARTECH.NS,FY23,4848.2,653.0,-904.1,25.9,677.5,,
ZENSARTECH.NS,FY24,4901.9,1028.7,-1195.2,19.1,625.7,,
ZENSARTECH.NS,FY25,5280.6,976.9,-1873.5,17.3,528.1,,
ZENSARTECH.NS,FY26,5687.4,1125.1,-2883.9,12.1,717.1,,
